,User,Influence_Score
0,0501yy06,0
1,05Pamuda,0
2,0620St,0
3,0958Shinasan,0
4,0lJi6rH45XuFscH,0
5,1004dlal,0
6,13849_a,0
7,20100222yucong,0
8,2039am,0
9,2178810807307,0
10,22skyme,0
11,22sunrise,0
12,2_rascal,0
13,3minoru3,0
14,431_11,0
15,4351_retu,0
16,53h8tg32hi,0
17,54nightengale,0
18,6W7VYoDDoKiqbbN,0
19,6girlcandoit9,0
20,810812Rmnr,0
21,961212xj,0
22,9Gweedo,0
23,ASmashingLife,0
24,AWSM_SportMedia,0
25,AalvikGreg,0
26,AasifAlrayys,0
27,Abidbutttt,0
28,AlbertaMajority,0
29,Aletheafkw,0
30,AlissaAckerman,0
31,AllOne1002,0
32,AllisonZwicker,0
33,Alloc_Blog,0
34,AlternatFacts,0
35,Amadii,0
36,AmihbuttAmna,0
37,AmitSteinberg,0
38,AnOpenSecret,0
39,AnditaWii,0
40,AndreaG799,0
41,AngelaBraden03,0
42,AntiGhazal,0
43,AprilDRyan,213970
44,Asherkhan1144,0
45,Atsiko,0
46,AyadeLeon,1398
47,AyakoOok,0
48,BASinthehouse,0
49,BFJNews,112826
50,BLACK_BULL69,0
51,BNGcachUGI8qRLr,0
52,BSmithTweet,0
53,BX1u7k70sMoAwVt,0
54,BackstCatLeo,0
55,Bacon_Gawd,0
56,BarryHingley,0
57,BazzMizza,0
58,Beaglelover35,0
59,BeeVernny,0
60,BellasMom16,0
61,BelleRosada,0
62,BethanyGlaude,0
63,BigBlack50cal,0
64,BigDonTee,0
65,BilalAh28805230,0
66,BillieCotter,0
67,BlvwZK7iXNZtU49,0
68,BobbinBombshell,0
69,Bojanglesbanana,0
70,Bowmanscrew1,0
71,Bozzwell61,0
72,BrookLyn1825,0
73,BuskerTrolls,0
74,ButterBrained,0
75,CHARDON50582742,0
76,CTibbetts,0
77,CTrentham88,0
78,Cali_d999,0
79,CalifSchinker,0
80,CallMyForest,0
81,CampbellX,24054
82,CanuckKimi,0
83,CasandraBescos,0
84,Cellerby,0
85,Chang_Cima,0
86,CharlottaRosey,0
87,ChatoJasmin,0
88,Chilhon2016Lap,0
89,Chirangreentea,0
90,ChuSant1966,0
91,CioHunt,0
92,CmiloseMilose,0
93,ConnerMcAleese,0
94,ConnieHume9,0
95,ConnorYYC1976,0
96,CrestonQ,0
97,CrimsonArt2,0
98,CrisistaLIMITED,0
99,CurseYouKhan,0
100,DJSerQet,0
101,D_Vilman,0
102,DanaLeigh9,0
103,Deannormanjones,0
104,DebbyHouse5,0
105,DestiGrace1,0
106,DizzyHellfire,0
107,DjLots3,0
108,Dojinadokin,0
109,Donperin,634
110,DorothyMontgom4,0
111,DrlocksLocks,0
112,EST1021,0
113,EYEZ_ONLY_JP,0
114,EgmontEgon,0
115,EileenKingDC,0
116,EmazeGoody,0
117,ErinLEddy1,0
118,EvilMark666,0
119,FANTADELIC,0
120,FRFQDXLtYnKFQ5c,0
121,Fa12Bce057,0
122,FemMagKPFK,0
123,FightingMad1,0
124,FigliContesi,0
125,Fiona_C1,0
126,Franzar69,0
127,Freaktesam,0
128,Fulelu,0
129,GV9OCp4Z3APUdC7,0
130,G_rhaps,0
131,Gayla,0
132,Geneghis,11143
133,Gideon_rose1224,0
134,GiveBackMy_Mind,0
135,Glicklich_Facts,2560
136,GloriaSOONG,0
137,GoClarey,0
138,GraPercy,0
139,GypsySpirit46,0
140,HEINSLERJAN,0
141,HHirao,0
142,Had2GoThere,0
143,HanaokaT1221,0
144,HeartlanderPD,0
145,Heather17Holden,0
146,HenrietteKolb,0
147,HinamiToyoko,0
148,HonestCharlie,0
149,HornHighYo,0
150,Hydride_anion,0
151,IParkerSterling,0
152,I_O_southern,0
153,IamSeerious,0
154,IcedCinnamon,0
155,IePeta,0
156,ImShahabPTI,0
157,ImaDADcom,0
158,ImmoralReport,0
159,ImpolaHeather,0
160,Irene97652350,0
161,IsidorMeyer1,0
162,ItsukuK,0
163,JPernicious,0
164,J_POP_NEWS,0
165,JaimeConcha10,0
166,Jali_Cat,0
167,JasperRees,0
168,JbarGarden,0
169,JessPugnacious,0
170,Jezebel,1150
171,Jill_OnTheHill,0
172,JoesDot_Com,0
173,JohnShaneyfelt1,0
174,Jroihcnh,0
175,Judi_rom,0
176,JuliaPDickinson,0
177,KGBr67,70047
178,KSR621,0
179,KZ0024,0
180,KanaKageyama,0
181,KansasHRC,0
182,KarateGomez,0
183,KathleenMcCarta,0
184,Kathmandu1214,0
185,KatyStrauss,0
186,KayzaRose,0
187,KerriDionisi,0
188,KhurramMunawar,0
189,KliyChiyi,0
190,KlynnMo1,0
191,Koji89375752,0
192,KristinMNovotny,0
193,KristinRaworth,0
194,LACordCutter,0
195,LMatos_refugees,0
196,LQecinTXzY9ww2H,0
197,Lady_mvt,0
198,LailaDoncaster,0
199,LeaBlackMiami,0
200,LemonZestTBell,0
201,Lena_T_Side,0
202,Leo1965Knokke,0
203,Llbmaga,0
204,LokiLoptr,0
205,LoloAgora,0
206,Long1Mary,0
207,LorettaLWorters,0
208,LouDabbs,0
209,LuckyFrank_7,0
210,LunarStrong,0
211,LyfordTheresa,0
212,Lynxxrider,0
213,MASIgaIESHINI,0
214,MOVEFORWARDHUGE,0
215,MagicoAeman,0
216,MakeCanadaGA69,0
217,MamaMacfennell,0
218,Margare57382127,0
219,MarthaSAlderson,0
220,Marvius6001,0
221,MaryKeithBare1,0
222,MasaMZP,0
223,MattStephens,23004
224,Me__Fighter,0
225,MereMay87,0
226,Mervin42,0
227,MichaelSchroye1,0
228,Michael_Fisher_,0
229,MiembrodeNumero,0
230,MikeTokes,147062
231,MikeZeedan,0
232,Mike_Jung,0
233,Mina_Upp,0
234,MinagawaJammi,0
235,MisatoMatsuoka,0
236,MkUSASteakAgain,0
237,Mo_NoWar_Chiba,0
238,Mogeconsan,0
239,MohsinAli6039,0
240,Mori48806817,0
241,MsAshley40,0
242,MsGarbo,0
243,MsMacMedia,0
244,MurtuzaKhann,0
245,MusashigogoRh,0
246,MyStJohnsU,0
247,NPelRpBVns2umUq,0
248,NWH_DVSA,0
249,NZLushie,57595
250,Nakanet8,0
251,NancyMihalich,0
252,Nedk30,0
253,NihonWoAisuru,0
254,NovusVero,0
255,OHenryHernandez,0
256,O__ev,0
257,Okaydokethen,0
258,OrphinPrincess,0
259,OzuaWiccane,0
260,PA4TAXPAYERS,0
261,PASCAL3725,0
262,PJS18463750,0
263,PRIDESolidarity,0
264,ParentSkillz,0
265,Pasdy_Kwah,0
266,PasojinK,0
267,Pathani95,0
268,Patriot_at_G,0
269,PaulStanda,0
270,Peresson79,0
271,PhilMorandi,0
272,PonoChobi,0
273,Praesepe19,0
274,ProdigalinPA,0
275,PutriMbareph,0
276,Qamarza69884337,0
277,REALMusicFAM,0
278,Rabrbt,0
279,Ranajee666,0
280,RandolphCarter,0
281,ReacherG1,0
282,RedFoxClover,0
283,RestlessRy,0
284,RobertDaPatriot,0
285,Robinstweettoo,0
286,RooseveltPatoo1,0
287,RosemarieBrown3,0
288,RoshaundaDGreen,0
289,Russ_Schweikert,0
290,S86A102B,0
291,SAKAKINEW,0
292,SHonaHunny,0
293,SM_Henley,0
294,SSmithNYC,0
295,S_Last_Samurai,0
296,SciaestheticMax,0
297,Seven_01177,0
298,SexyIsntSexist,0
299,ShahidJ24268923,0
300,SharonCross5,0
301,ShashiDyamani,0
302,SherryFLRealtor,0
303,Shige327,0
304,Shunminxx,0
305,Shusethu2,0
306,SimoneG5000,0
307,SittardThomas,0
308,Sjunic,0
309,SkySrius,0
310,SmileEmiko,0
311,SocialQPhilip,0
312,Social_Media_g8,0
313,Sockieee0216,0
314,SonyaHedrick,0
315,SouthJerseyBro,0
316,Srdowntown,0
317,StarMccown,0
318,StaunchInsafian,0
319,StellaH60380229,0
320,StephanieLind7,0
321,StevenJPayton,0
322,StewartSmithTwt,0
323,SurvJustice,0
324,SyedAbbasPTI,0
325,Syedsohailali,0
326,SzyrowskiDaniel,0
327,TFME_MAUREEN,0
328,TMM91310761,0
329,TNKaren63,0
330,TOTVERBANZ1,2
331,TTjourden,0
332,TUGUMISAMA2,0
333,TakaSr20love,0
334,TasogareSorori,0
335,Teasha609,0
336,TeeDee1,0
337,TefitaTuets,0
338,Tempatmata,0
339,The821_821,0
340,TheBanner1943,0
341,TheWallStBull,0
342,ThinkItThruUSA,0
343,ThomasJ17762016,0
344,TiqChapa108,0
345,ToborEichmann,0
346,Tom1cat,0
347,TonyRus92152318,0
348,TosaAmyLee,0
349,TraceySpicer,0
350,Tracytms,0
351,TriaRyder,0
352,TruthFactsKnow,0
353,Tubahiro6,0
354,TyrantEmpires,0
355,ULDD7653FSKF3vl,0
356,U_R_Welcome,0
357,VLBenning,0
358,Vbz8cFo,0
359,Violet_Sakinacy,0
360,WMCLive,0
361,Wakewakazo,0
362,Walter29340877,0
363,WatrousDawn,0
364,YamadaAkira3,0
365,YarMNiazi,0
366,Yukisuke18,0
367,ZacharyJeans,0
368,ZeeSaying,0
369,Zenon8703,0
370,_CasuallyMe,0
371,_IamWaqas788,0
372,_KyleMorales,0
373,__sakuyakono,0
374,_dpaj,0
375,a_frentz,0
376,actionclutch,0
377,actofisms,0
378,adiiGstarr,0
379,adjacencypair,0
380,aidoldaisukides,0
381,aikokuwww,0
382,aisayonoya,0
383,akanuma01,0
384,alwaysnvr,0
385,amanatchannn,0
386,amiba00,0
387,amon1004soft,0
388,amyurnt,0
389,and45671,0
390,angelo_radio,0
391,animac_JAM,0
392,annakotoyakonnn,0
393,annejumps,0
394,annie_parker,0
395,annmarie309,0
396,aosakana,0
397,aotea27jp,0
398,aquaorbis_ff14,0
399,arkanal1,0
400,as87069,0
401,augvision,0
402,authorAAKantor,0
403,avifollow,0
404,avimran,0
405,ay_newsreport,0
406,ayesuppose,0
407,bLfdmHP2ssGeNpc,0
408,baney_tara,0
409,beast8230,0
410,beatoangelo,0
411,beausted,0
412,benikissxxxx,0
413,biwawa,0
414,bkavoussi,0
415,bkseitaroh,0
416,blueashie,0
417,bluetrain1435,0
418,blxcklibra,0
419,bobs_eric,0
420,bocobuffs,0
421,bronks4215,0
422,bubbabumpkin,0
423,bunshun_online,3967
424,burjafifa,0
425,c_pcpl,0
426,caitiecait21,0
427,carlotacasal3,0
428,carplover_1981,0
429,carrieinglasgow,0
430,catesongbird,0
431,catnoriko,0
432,cc28599084,0
433,cckpaula,0
434,ccwriter,0
435,cedd6321,0
436,cernybt,0
437,cfoxthesound,0
438,chakioflorin,0
439,chel_c_cam,0
440,chickpea_D,0
441,chitaskforce,0
442,chrichan,0
443,claaaireoconnor,0
444,cliffordbrown,0
445,coffeetv77,1154
446,commonpatriot,0
447,congu_888,0
448,corkyengel,0
449,couki2622,0
450,countrysherry,0
451,covefe67,0
452,crosswhen,0
453,csmonitor,111
454,ctD6UEbwGRpsqr5,0
455,cubanuco,0
456,dOSyt6zExKJJRYE,0
457,daIkusam,0
458,daitojimari,67403
459,danseigaku,0
460,darjeeling_2009,0
461,dchan_type_b,0
462,ddshelby,0
463,de_martinifabio,0
464,debiruhomura,0
465,debtor2000000,0
466,deemoda83,0
467,deepwizardry,0
468,delfinodelmario,0
469,delmoko78,0
