,User,Influence_Score
0,nfluencer_845,0
1,nfluencer_242,0
2,nfluencer_438,0
3,luencer_113,0
4,luencer_359,0
5,nfluencer_265,0
6,nfluencer_930,0
7,uencer_749,0
8,4f8influencer_684,0
9,uencer_364,0
10,luencer_27,0
11,fluencer_226,0
12,uencer_402,0
13,uencer_681,0
14,uencer_693,0
15,uencer_702,0
16,uencer_710,0
17,uencer_718,0
18,uencer_721,0
19,uencer_738,0
20,uencer_746,0
21,uencer_753,0
22,uencer_754,0
23,uencer_758,0
24,uencer_766,0
25,uencer_773,0
26,uencer_782,0
27,uencer_791,0
28,uencer_794,0
29,uencer_863,0
30,uencer_982,0
31,linfluencer_329,0
32,encer_569,0
33,oseinfluencer_83,0
34,encer_619,0
35,erinfluencer_205,0
36,nfluencer_586,0
37,nfluencer_825,0
38,nfluencer_166,0
39,ic5influencer_10,0
40,nfluencer_280,0
41,adinfluencer_645,0
42,224influencer_585,0
43,luencer_232,0
44,r23influencer_661,0
45,nfluencer_942,0
46,rUSinfluencer_305,0
47,einfluencer_48,0
48,encer_296,0
49,fluencer_840,0
50,tainfluencer_26,0
51,tainfluencer_38,0
52,linfluencer_880,0
53,kieinfluencer_263,0
54,450influencer_488,0
55,ncer_830,0
56,influencer_655,0
57,uencer_847,0
58,encer_649,0
59,influencer_404,0
60,cer_122,0
61,influencer_761,0
62,nfluencer_72,0
63,fluencer_55,0
64,encer_750,0
65,uencer_425,0
66,influencer_956,0
67,einfluencer_505,0
68,uencer_152,0
69,fluencer_574,0
70,nfluencer_896,0
71,uencer_486,0
72,cer_589,0
73,tinfluencer_358,0
74,egainfluencer_367,0
75,fluencer_780,0
76,rinfluencer_952,0
77,nfluencer_958,0
78,nfluencer_128,0
79,yinfluencer_447,0
80,yinfluencer_624,0
81,ginfluencer_874,0
82,luencer_515,0
83,fluencer_414,0
84,alinfluencer_422,0
85,tinfluencer_549,0
86,nfluencer_450,0
87,nfluencer_927,0
88,ininfluencer_694,0
89,influencer_989,0
90,ellinfluencer_461,0
91,ellinfluencer_469,0
92,yinfluencer_570,0
93,einfluencer_28,0
94,luencer_917,0
95,influencer_53,0
96,influencer_697,0
97,ameinfluencer_196,0
98,influencer_357,0
99,eetinfluencer_962,0
100,eetinfluencer_963,0
101,eetinfluencer_964,0
102,fluencer_139,0
103,_SKinfluencer_900,0
104,influencer_876,0
105,lesinfluencer_512,0
106,tchinfluencer_203,0
107,nfluencer_826,0
108,fluencer_607,0
109,rdinfluencer_850,0
110,nfluencer_89,0
111,luencer_150,0
112,erinfluencer_279,0
113,erinfluencer_388,0
114,fluencer_277,0
115,encer_199,0
116,encer_350,0
117,rinfluencer_954,0
118,influencer_809,0
119,53influencer_498,0
120,Sinfluencer_902,0
121,ninfluencer_286,0
122,luencer_365,0
123,nfluencer_460,0
124,luencer_172,0
125,ncer_258,0
126,influencer_7,0
127,tinfluencer_630,0
128,luencer_873,0
129,influencer_494,0
130,influencer_815,0
131,encer_604,0
132,fluencer_437,0
133,fluencer_248,0
134,erinfluencer_965,0
135,luencer_547,0
136,998influencer_465,0
137,influencer_544,0
138,uencer_733,0
139,rtinfluencer_127,0
140,nfluencer_130,0
141,akeinfluencer_76,0
142,nfluencer_558,0
143,fluencer_587,0
144,cer_654,0
145,rinfluencer_317,0
146,agoinfluencer_882,0
147,RSPinfluencer_133,0
148,nfluencer_743,0
149,encer_993,0
150,fluencer_543,0
151,fluencer_644,0
152,influencer_695,0
153,tinfluencer_464,0
154,tinfluencer_467,0
155,encer_629,0
156,encer_885,0
157,ncer_2,0
158,encer_478,0
159,ditinfluencer_164,0
160,uencer_854,0
161,cer_822,0
162,encer_948,0
163,sinfluencer_209,0
164,ainfluencer_147,0
165,influencer_796,0
166,luencer_5,0
167,encer_887,0
168,nfluencer_922,0
169,luencer_134,0
170,fluencer_608,0
171,fluencer_620,0
172,fluencer_622,0
173,influencer_511,0
174,influencer_906,0
175,nfluencer_84,0
176,yinfluencer_163,0
177,ainfluencer_261,0
178,encer_109,0
179,nfluencer_807,0
180,fluencer_983,0
181,influencer_699,0
182,mheinfluencer_614,0
183,uencer_596,0
184,nfluencer_186,0
185,luencer_143,0
186,phyinfluencer_185,0
187,encer_492,0
188,erinfluencer_34,0
189,luencer_901,0
190,encer_62,0
191,ncer_118,0
192,1influencer_642,0
193,ayoinfluencer_403,0
194,luencer_421,0
195,onsinfluencer_992,0
196,cer_276,0
197,influencer_462,0
198,influencer_466,0
199,influencer_410,0
200,influencer_568,0
201,rinfluencer_610,0
202,encer_120,0
203,nxinfluencer_925,0
204,einfluencer_378,0
205,luencer_293,0
206,uencer_701,0
207,influencer_340,0
208,fluencer_931,0
209,luencer_36,0
210,nfluencer_312,0
211,zuinfluencer_502,0
212,zuinfluencer_760,0
213,zuinfluencer_941,0
214,luencer_436,0
215,luencer_344,0
216,nfluencer_676,0
217,fluencer_472,0
218,nfluencer_429,0
219,ncer_398,0
220,_influencer_80,0
221,luencer_846,0
222,nfluencer_786,0
223,ksinfluencer_491,0
224,fluencer_670,0
225,fluencer_20,0
226,nfluencer_625,0
227,fluencer_353,0
228,luencer_988,0
229,luencer_838,0
230,influencer_189,0
231,uencer_517,0
232,luencer_588,0
233,ncer_926,0
234,otinfluencer_240,0
235,n2influencer_475,0
236,influencer_777,0
237,0influencer_731,0
238,88influencer_49,0
239,nfluencer_582,0
240,encer_739,0
241,fluencer_719,0
242,influencer_711,0
243,Dinfluencer_9,0
244,uencer_323,0
245,influencer_42,0
246,fluencer_217,0
247,1influencer_897,0
248,sinfluencer_207,0
249,fluencer_615,0
250,fluencer_638,0
251,luencer_759,0
252,uencer_159,0
253,7influencer_575,0
254,cinfluencer_136,0
255,itinfluencer_137,0
256,uencer_837,0
257,luencer_679,0
258,nfluencer_883,0
259,nfluencer_621,0
260,uencer_538,0
261,influencer_997,0
262,uencer_291,0
263,ncer_675,0
264,influencer_200,0
265,nfluencer_223,0
266,fluencer_397,0
267,edinfluencer_804,0
268,WNinfluencer_496,0
269,nfluencer_194,0
270,nginfluencer_564,0
271,nfluencer_720,0
272,luencer_219,0
273,eD1influencer_440,0
274,encer_11,0
275,rorinfluencer_812,0
276,uencer_706,0
277,517influencer_659,0
278,influencer_510,0
279,fluencer_16,0
280,influencer_426,0
281,influencer_527,0
282,neinfluencer_102,0
283,nfluencer_972,0
284,luencer_391,0
285,fluencer_836,0
286,uencer_135,0
287,uencer_601,0
288,nfluencer_984,0
289,fluencer_190,0
290,influencer_361,0
291,uencer_919,0
292,ninfluencer_627,0
293,yinfluencer_921,0
294,winfluencer_856,0
295,uencer_347,0
296,dinfluencer_44,0
297,fluencer_19,0
298,ncer_220,0
299,luencer_806,0
300,ckinfluencer_58,0
301,fluencer_335,0
302,iinfluencer_94,0
303,uencer_756,0
304,sinfluencer_975,0
305,einfluencer_86,0
306,fluencer_860,0
307,fluencer_867,0
308,fluencer_869,0
309,encer_688,0
310,nfluencer_833,0
311,luencer_330,0
312,luencer_971,0
313,influencer_315,0
314,influencer_334,0
315,etinfluencer_401,0
316,Ribinfluencer_534,0
317,luencer_935,0
318,524influencer_339,0
319,husinfluencer_875,0
320,fluencer_91,0
321,uencer_616,0
322,emainfluencer_829,0
323,iinfluencer_973,0
324,fluencer_757,0
325,influencer_857,0
326,ukiinfluencer_561,0
327,influencer_251,0
328,influencer_336,0
329,influencer_45,0
330,luencer_767,0
331,fluencer_439,0
332,luencer_8,0
333,uencer_394,0
334,fluencer_504,0
335,luencer_797,0
336,ncer_680,0
337,influencer_653,0
338,encer_529,0
339,abyinfluencer_399,0
340,rainfluencer_741,0
341,uencer_481,0
342,uencer_318,0
343,ncer_444,0
344,luencer_673,0
345,fluencer_382,0
346,n25influencer_121,0
347,uencer_665,0
348,uencer_666,0
349,inginfluencer_576,0
350,fluencer_349,0
351,influencer_792,0
352,boinfluencer_77,0
353,fluencer_723,0
354,awninfluencer_405,0
355,fluencer_884,0
356,xinfluencer_173,0
357,xinfluencer_43,0
358,influencer_612,0
359,rinfluencer_255,0
360,fluencer_831,0
361,encer_776,0
362,nfluencer_252,0
363,cer_454,0
364,uencer_560,0
365,cer_50,0
366,inginfluencer_915,0
367,120influencer_215,0
368,uinfluencer_783,0
369,fluencer_266,0
370,einfluencer_592,0
371,einfluencer_617,0
372,93influencer_518,0
373,93influencer_949,0
374,oeinfluencer_129,0
375,nnyinfluencer_513,0
376,proinfluencer_116,0
377,uencer_428,0
378,fluencer_368,0
379,luencer_54,0
380,sinfluencer_366,0
381,ryinfluencer_713,0
382,influencer_13,0
383,n44influencer_526,0
384,nfluencer_828,0
385,fluencer_536,0
386,rinfluencer_385,0
387,luencer_772,0
388,fluencer_799,0
389,influencer_374,0
390,influencer_288,0
391,fluencer_202,0
392,lyinfluencer_473,0
393,fluencer_656,0
394,fluencer_267,0
395,fluencer_755,0
396,uginfluencer_889,0
397,influencer_25,0
