,User,Influence_Score
0,,0
1,05_priyanka,0
2,0neInA_MILLIon,0
3,11bigdick11,0
4,121875Raywwe1,0
5,20x20Apparel,13228
6,25CNbOmE,0
7,2wCarl,0
8,411mania,0
9,411wrestling,668
10,4CRADIO,0
11,8740_khan,0
12,AJEdwards01,0
13,AJStylesGirl7,0
14,AJStylesPh,57712
15,AKHXtreme10,0
16,AMANDA_MOORE89,0
17,ASHLEYHARDYBRND,0
18,AWIPOD,0
19,AWrestlingPod,0
20,AbbieRF4,0
21,AcesFN,0
22,Adam_Lewis10,0
23,Aeris97,0
24,AhmedStylesfan2,0
25,AjStylesFan8,0
26,AlanMichaelShow,0
27,Alex08078829,0
28,Alexa45mlt,0
29,AlexaGirl_G,0
30,Alishue,0
31,AllNightLongWP,0
32,Aman10335285,0
33,AmeenKnows,0
34,Americareform,0
35,AminSlamMasterA,0
36,Andresz12m,0
37,AnimeNboobs,0
38,Antonio37991225,0
39,AntonioLDees,0
40,ArtbyFallucca,0
41,AsadASL8,0
42,AsadB89,0
43,Asanda_kid_Z,0
44,AshAndAlPodcast,0
45,Ashaice,0
46,Asuka07696608,0
47,AtefB93,0
48,AudreyBitoni169,0
49,AuekiusTownsen2,0
50,Avoc_City,0
51,AwesomeTripleB,0
52,AzulaBeifong,0
53,BCvTS,0
54,BadAssBitchGir2,0
55,Bam_Alexei,0
56,BaptBriot,0
57,Batigol34998827,0
58,BeauBecraft,0
59,Beccahowe97,0
60,BeersNBeards,0
61,Bert_666,0
62,Bewnumber1,0
63,BhagwatiDas3,0
64,Bi__Girl_,0
65,BigDog_Emanuel,0
66,BigJimBob1983,0
67,BigNoxe,0
68,BlooMixer,0
69,Boffinman,0
70,Bossofficial31,0
71,BradBabcock6,0
72,BrianBreakerODR,0
73,BrokenAndAwoken,0
74,BrosB4Elbows,0
75,BruiserWxight,0
76,BustySeduces,0
77,ByOgvptqEbBslx9,0
78,CHRISPAPUGOMEZ,0
79,CJLAmore,0
80,Cabecki68,0
81,CaptureTheSky82,0
82,CarlonGene,0
83,CaseyCorbin,0
84,CatchNewz,127
85,CenationHLR16x,0
86,Cenation_Sk,0
87,ChadSlagter,0
88,ChairshotRadio,0
89,Charistopus,0
90,Chuckjagger824,0
91,ChumaOkaforS,0
92,ClubWWE_Arg,0
93,Cohen4Piece,0
94,ColonelClam,0
95,Crazyguy75,0
96,Crismahecha,0
97,CruzGRuiz,0
98,CutlerCoalition,0
99,CuzIm_TraeD,0
100,DDahena,0
101,DDaniell02,0
102,DELETEDPanenka,0
103,DJharrylez254,0
104,DaMasked1,0
105,DaPhenomenal01,0
106,DadaAhire,0
107,DanHamill1987,0
108,Dani_geo,0
109,Dannman03,0
110,DasArghadip1997,0
111,Datdudebk23,0
112,Davey_Adams,0
113,DavidAChristi07,0
114,DavidGuinet1,0
115,DeBo_XL,0
116,Dearjetsetter,0
117,DelanteaWashin,0
118,DennisGriffin2,0
119,Destin_0410,0
120,DonnieThe3rd,0
